Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;V_weighted;EFA_weighted;AmbientCondPattern;EFA_WTT_weighted;EFA_WTW_weighted
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Local/80/Freeflow;0%;72.18514252;0.009584784;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Local/80/St+Go;0%;15.48010635;0.022393718;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Local-sin./50/Freeflow;0%;41.90670395;0.012203188;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Local-sin./50/St+Go;0%;12.48691177;0.022639289;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Local-sin./60/Freeflow;0%;48.74943924;0.01160229;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Local-sin./60/St+Go;0%;14.42250252;0.020052861;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Local-sin./70/Freeflow;0%;57.36057663;0.011714411;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Local-sin./70/St+Go;0%;14.42250443;0.02005709;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Local-sin./80/Freeflow;0%;65.22596741;0.010986982;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Local-sin./80/St+Go;0%;14.92512894;0.021134153;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Access/30/Freeflow;0%;33.69336319;0.011259067;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Access/30/St+Go;0%;9.621914864;0.025381573;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Access/40/Freeflow;0%;38.44151688;0.012166836;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Access/40/St+Go;0%;11.82721138;0.02246345;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Access/50/Freeflow;0%;43.8682785;0.011970702;ØGermany;;
