Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;HC;Urban;TØ,>12h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;HC;Urban;TØ,>12h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,0-1h,1-2km;0.28538087;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;HC;Urban;TØ,0-1h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;HC;Urban;TØ,0-1h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;HC;Urban;TØ,0-1h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;HC;Urban;TØ,0-1h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,1-2h,1-2km;0.719647229;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;HC;Urban;TØ,1-2h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;HC;Urban;TØ,1-2h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;HC;Urban;TØ,1-2h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;HC;Urban;TØ,1-2h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,2-3h,1-2km;0.911093831;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;HC;Urban;TØ,2-3h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;HC;Urban;TØ,2-3h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;HC;Urban;TØ,2-3h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;HC;Urban;TØ,2-3h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,3-4h,1-2km;1.041274905;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;HC;Urban;TØ,3-4h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;HC;Urban;TØ,3-4h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;HC;Urban;TØ,3-4h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;HC;Urban;TØ,3-4h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,4-5h,1-2km;1.134728193;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;HC;Urban;TØ,4-5h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;HC;Urban;TØ,4-5h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;HC;Urban;TØ,4-5h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;HC;Urban;TØ,4-5h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,5-6h,1-2km;1.191575408;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;HC;Urban;TØ,5-6h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;HC;Urban;TØ,5-6h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;HC;Urban;TØ,5-6h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;HC;Urban;TØ,5-6h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,6-7h,1-2km;1.248422623;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;HC;Urban;TØ,6-7h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;HC;Urban;TØ,6-7h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;HC;Urban;TØ,6-7h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;HC;Urban;TØ,6-7h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,7-8h,1-2km;1.305269837;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;HC;Urban;TØ,7-8h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;HC;Urban;TØ,7-8h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;HC;Urban;TØ,7-8h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;HC;Urban;TØ,7-8h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,8-9h,1-2km;1.362117052;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;HC;Urban;TØ,8-9h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;HC;Urban;TØ,8-9h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;HC;Urban;TØ,8-9h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;HC;Urban;TØ,8-9h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,9-10h,1-2km;1.418964148;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;HC;Urban;TØ,9-10h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;HC;Urban;TØ,9-10h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;HC;Urban;TØ,9-10h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;HC;Urban;TØ,9-10h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,10-11h,1-2km;1.475811362;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;HC;Urban;TØ,10-11h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;HC;Urban;TØ,10-11h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;HC;Urban;TØ,10-11h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;HC;Urban;TØ,10-11h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,11-12h,1-2km;1.532658458;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;HC;Urban;TØ,11-12h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;HC;Urban;TØ,11-12h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;HC;Urban;TØ,11-12h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;HC;Urban;TØ,11-12h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,>12h,1-2km;1.561082006;;;;;
